ticker,asset_name,asset_class,sleeve,sub_sleeve,currency,benchmark_id,is_investable,is_bl_eligible,is_macro_indicator_only,view_eligible_absolute,view_eligible_relative,min_weight,max_weight,allow_short,view_group,bl_group,covariance_group,return_source,return_type,min_history_months,max_missing_pct,stale_after_days,inception_date,notes
ACWI,Global Equities,ETF,Asset Class,Global equity,USD,GSMIF_SAMPLE_POLICY,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.40,FALSE,Global policy,Core,Global multi asset,data/prices.csv,total_return_proxy,60,0.20,45,,Core benchmark component
AGG,Aggregate Bonds,ETF,Asset Class,Core bonds,USD,GSMIF_SAMPLE_POLICY,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.40,FALSE,Global policy,Core,Global multi asset,data/prices.csv,total_return_proxy,60,0.20,45,,Core benchmark component
DBC,Broad Commodities,ETF,Asset Class,Broad commodities,USD,GSMIF_SAMPLE_POLICY,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.20,FALSE,Global policy,Core,Global multi asset,data/prices.csv,total_return_proxy,60,0.25,45,,Commodity benchmark component
HYG,High Yield Credit,ETF,Asset Class,High yield,USD,GSMIF_SAMPLE_POLICY,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.20,FALSE,Credit,Fixed Income,Global multi asset,data/prices.csv,total_return_proxy,60,0.20,45,,Credit risk sleeve
BIL,Cash / T-Bills,ETF,Asset Class,Cash,USD,GSMIF_SAMPLE_POLICY,TRUE,TRUE,FALSE,FALSE,FALSE,0.00,0.30,FALSE,Cash,Core,Global multi asset,data/prices.csv,total_return_proxy,60,0.20,45,,Cash benchmark component no automatic view
BTC,Bitcoin,Crypto,Crypto,Bitcoin,USD,,FALSE,FALSE,FALSE,FALSE,FALSE,0.00,0.00,FALSE,Crypto,Research,Research only,data/prices.csv,total_return_proxy,36,0.35,45,,Research only crypto excluded from BL
ETH,Ethereum,Crypto,Crypto,Ethereum,USD,,FALSE,FALSE,FALSE,FALSE,FALSE,0.00,0.00,FALSE,Crypto,Research,Research only,data/prices.csv,total_return_proxy,36,0.35,45,,Research only crypto excluded from BL
SPY,US Equities,ETF,Equity Region,US large cap,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.30,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,US equity regional view
EEM,Emerging Markets,ETF,Equity Region,Emerging markets,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.20,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,EM regional view
EFA,Developed ex-US,ETF,Equity Region,Developed ex US,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.20,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Developed ex US regional view
EWJ,Japan,ETF,Equity Region,Japan,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.12,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,Japan regional view
EWU,UK,ETF,Equity Region,UK,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.12,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,UK regional view
EWL,Switzerland,ETF,Equity Region,Switzerland,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.12,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,Switzerland regional view
EPP,Pacific ex-Japan,ETF,Equity Region,Pacific ex Japan,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.12,FALSE,Equity regions,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,Pacific regional view
XLK,Technology,ETF,Equity Sector,Technology,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.20,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
SOXX,Semiconductors,ETF,Equity Sector,Semiconductors,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.25,45,,Industry view
XLE,Energy,ETF,Equity Sector,Energy,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
XLB,Materials,ETF,Equity Sector,Materials,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
XLI,Industrials,ETF,Equity Sector,Industrials,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
XLY,Consumer Discretionary,ETF,Equity Sector,Consumer discretionary,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
XLP,Consumer Staples,ETF,Equity Sector,Consumer staples,USD,ACWI_BENCH,TRUE,TRUE,FALSE,TRUE,TRUE,0.00,0.15,FALSE,US sectors,Equity,Equity,data/prices.csv,total_return_proxy,60,0.20,45,,Sector view
